TERM	NAME
PWY-6917	&omega-hydroxylation of caprate and laurate
PWY-5080	genistein conjugates interconversion
PWY-7036	phenylpropanoids methylation (ice plant)
PWY-5729	scopolin biosynthesis
PWY-7093	coumestrol biosynthesis
PWY-5292	UDP-&alpha-D-galacturonate biosynthesis II (from D-galacturonate)
PWY-5945	phaseollin biosynthesis
PWY-7458	eudesmol biosynthesis
PWY-1422	6-methoxypodophyllotoxin biosynthesis
PWY-7436	fructan degradation
PWY-6015	aerobic respiration I (cytochrome c)
PWY-4203	trehalose degradation II (cytosolic)
PWY-4201	L-serine biosynthesis II
PWY-6801	L-glutamate degradation I
PWY4FS-12	L-methionine degradation I (to L-homocysteine)
PWY-5884	L-phenylalanine biosynthesis II
PWY-5885	&gamma-linolenate biosynthesis I (plants)
PWY-4502	vestitol and sativan biosynthesis
PWY-5021	spermidine biosynthesis I
PWY-7213	diacylsucrose biosynthesis (Solanum)
PWY-5135	&beta-pyrazole-1-ylalanine biosynthesis
PWY-5800	D-serine metabolism
PWY-5980	cyanidin dimalonylglucoside biosynthesis
PWY-5936	ascorbate glutathione cycle
PWY-7748	salicortin biosynthesis
PWY-7629	vernolate biosynthesis II
PWY-6888	pentagalloylglucose biosynthesis
PWY-5944	"2,3-trans-flavanols biosynthesis"
PWY-6265	bixin biosynthesis
PWY-6074	starch degradation II
