Pathways	Compounds_of_pathway	Enzymes_of_pathway	Genes_of_pathway	Ontology_parents_of_class	Reactions_of_pathway	Reactants_of_pathway	Products_of_pathway
PWY-1081	CPD-13122 // D-Galactopyranuronate // METOH // Methyl-esterified-homogalacturonan			Glycan-Degradation // Pectin-Degradation	RXN-19783	Methyl-esterified-homogalacturonan	METOH // D-Galactopyranuronate // CPD-13122
PWY-6840	CYS // GLT // ADP // CPD-211 // Pi // PROTON // B-ALANINE // L-GAMMA-GLUTAMYLCYSTEINE // ATP	GLYMA.05G207600-MONOMER // GLYMA.11G023632-MONOMER // GLYMA.11G023566-MONOMER // GLYMA.01G219900-MONOMER // GLYMA.08G014300-MONOMER // MONOMERN7V-54051 // MONOMER-16746 // GLYMA.03G240600-MONOMER // GLYMA.03G240651-MONOMER // MONOMER-16747	GLYMA.05G207600 // GLYMA.11G023632 // GLYMA.11G023566 // GLYMA.01G219900 // GLYMA.08G014300 // GLYMA.04G126801 // G-14594 // GLYMA.03G240600 // GLYMA.03G240651 // G-14595	Reductants	HOMOGLUTATHIONE-SYNTHASE-RXN // GLUTCYSLIG-RXN	B-ALANINE // ATP // CYS // GLT	PROTON // Pi // CPD-211 // ADP
PWY-6841	a-poly-gamma-glutamylcysteine-beta-alani // GLY // CPD-13498 // GLUTATHIONE // CPD-211	MONOMER-16320 // MONOMER-16749	G-12589 // G-14597	Detoxification	RXN-12529 // RXN-12528	GLUTATHIONE // CPD-211	CPD-13498 // GLY
PWY-5907	CPD-1821 // CPD-313 // PUTRESCINE // SPERMIDINE	MONOMER-13925 // MONOMER-13926 // MONOMER-13914	G-10627 // G-10628 // G-10617	Polyamine-Biosynthesis	2.5.1.45-RXN	PUTRESCINE // SPERMIDINE	CPD-313 // CPD-1821
PWY-6448	CO-A // PROTON // P-COUMAROYL-COA // AGMATHINE // WATER // CPD-12232 // N-4-GUANIDINOBUTYL-4-HYDROXYCINNAMAMID // HYDROGEN-PEROXIDE	MONOMER-15451	G-11835	N-CONTAINING-SECONDARY-CMPD-SYN	RXN-11292 // AGMATINE-N4-COUMAROYLTRANSFERASE-RXN	HYDROGEN-PEROXIDE // P-COUMAROYL-COA // AGMATHINE	CPD-12232 // WATER // PROTON // CO-A
PWY-6785	PROTON // Reduced-ferredoxins // HYDROGEN-MOLECULE // Oxidized-ferredoxins	CRE03.G199800-MONOMER // CRE09.G396600-MONOMER // MONOMER-16491 // GIO2-741-MONOMER	CRE03.G199800 // CRE09.G396600 // G-12758 // GIO2-741	Hydrogen-Production	HYDROG-RXN	Reduced-ferredoxins // PROTON	HYDROGEN-MOLECULE // Oxidized-ferredoxins
PWY-7461	CO-A // O-SINAPOYLGLUCAROLACTONE // PROTON // SINAPOYL-COA // CPD-12595 // Glucopyranose // O-SINAPOYLGLUCARATE // 1-O-SINAPOYL-BETA-D-GLUCOSE // D-GLUCARATE	MONOMER-18562 // MONOMER-18563 // MONOMER-18564		CINNAMATE-SYN	RXN-15361 // 2.3.1.132-RXN // 2.3.1.131-RXN	1-O-SINAPOYL-BETA-D-GLUCOSE // D-GLUCARATE // PROTON // SINAPOYL-COA // CPD-12595	O-SINAPOYLGLUCARATE // Glucopyranose // O-SINAPOYLGLUCAROLACTONE // CO-A
PWY-5473	CARBON-DIOXIDE // TRP // WATER // Ox-NADPH-Hemoprotein-Reductases // TRYPTAMINE // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE // CPD-8934 // CAFFEOYL-COA // CPD-8935 // FERULOYL-COA // CPD-8936 // P-COUMAROYL-COA // CO-A // CPD-8937 // PROTON // SEROTONIN // CINNAMOYL-COA	OS08G0140500-MONOMER // OS08G0140300-MONOMER // MONOMER-12983 // MONOMER-12985	OS08G0140500 // OS08G0140300 // G-9909	N-CONTAINING-SECONDARY-CMPD-SYN	RXN-8712 // RXN-8711 // RXN-8710 // RXN-8709 // RXN-8707 // AROMATIC-L-AMINO-ACID-DECARBOXYLASE-RXN	CINNAMOYL-COA // P-COUMAROYL-COA // FERULOYL-COA // CAFFEOYL-COA // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE // TRP	CPD-8937 // CO-A // CPD-8936 // CPD-8935 // CPD-8934 // Ox-NADPH-Hemoprotein-Reductases // WATER // CARBON-DIOXIDE
PWY-5474	CARBON-DIOXIDE // TYR // CPD-440 // FERULOYL-COA // CPD-8941 // CINNAMOYL-COA // CPD-8942 // SINAPOYL-COA // CO-A // CPD-8943 // PROTON // P-COUMAROYL-COA // TYRAMINE	ZM00001D033024-MONOMER // ZM00001D027949-MONOMER // ZM00001D038665-MONOMER // ZM00001D027947-MONOMER // MONOMER-8382 // MONOMER-12764 // CPLX-2224 // MONOMER-12990 // CPLX-7310 // CPLX-7311	ZM00001D033024 // ZM00001D027949 // ZM00001D038665 // ZM00001D027947 // G-6362 // G-9777 // G-9910	N-CONTAINING-SECONDARY-CMPD-SYN	RXN-8715 // RXN-8714 // RXN-8713 // TYRAMINE-N-FERULOYLTRANSFERASE-RXN // TYROSINE-DECARBOXYLASE-RXN	P-COUMAROYL-COA // SINAPOYL-COA // CINNAMOYL-COA // FERULOYL-COA // TYR	CPD-8943 // CO-A // CPD-8942 // CPD-8941 // CPD-440 // CARBON-DIOXIDE
PWY-6235	CPD-19816 // 3-5-ADP // PAPS // CPD-11260 // WATER // NADP // CPD-11253 // CPD-734 // OXYGEN-MOLECULE // NADPH // PROTON	AT5G07000-MONOMER // AT5G07010-MONOMER // MONOMER-4141 // AT1G51760-MONOMER	AT5G07000 // AT5G07010 // G-3181 // AT1G51760	Jasmonates-Biosynthesis	RXN-10450 // RXN-10451	CPD-734 // OXYGEN-MOLECULE // NADPH // PAPS // CPD-11260	CPD-11253 // NADP // WATER // 3-5-ADP // CPD-19816
PWY-6433	CPD-14300 // CPD-15361 // CPD-15362 // CPD-15368 // CPD-15369 // CPD-15370 // OLEOYL-COA // Oleoyl-lipid // FERRICYTOCHROME-B5 // OXYGEN-MOLECULE // FERROCYTOCHROME-B5 // CPD-17397 // CPD-17396 // CPD-15364 // CPD-17400 // CPD-15366 // CARBON-DIOXIDE // CPD-15365 // MALONYL-COA // CPD-17401 // WATER // CPD-17402 // PROTON // NADPH // CPD-17403 // NADP // CPD-17399 // CPD-15367 // CO-A // CPD-17404 // CPD-15363 // Glycerolipids	MONOMER-15396	G-11805	Hydroxy-Fatty-Acids-Biosynthesis	RXN-16158 // RXN-16157 // RXN-16156 // RXN-16155 // RXN-16154 // RXN-16153 // RXN-16152 // RXN-16151 // RXN-16150 // RXN-16149 // RXN-16148 // RXN-9670 // RXN-14491 // RXN-14495 // RXN-14494 // RXN-14493 // RXN-14492 // RXN-14488 // RXN-14486 // RXN-14485 // RXN-14484 // RXN-13322	NADPH // PROTON // MALONYL-COA // OXYGEN-MOLECULE // FERROCYTOCHROME-B5 // OLEOYL-COA	CPD-17399 // NADP // WATER // CARBON-DIOXIDE // FERRICYTOCHROME-B5
PWY-5925	CPD-7289 // CPD-7231 // CARBON-DIOXIDE // SUC // CPD-7291 // PROTON // CPD-7227 // 2-KETOGLUTARATE // OXYGEN-MOLECULE	MONOMER-13953 // MONOMER-13972 // MONOMER-13971	G-10654 // G-10669 // G-10668	Siderophores-Biosynthesis	RXN-7983 // RXN-7982 // 1.14.11.24-RXN	CPD-7227 // 2-KETOGLUTARATE // OXYGEN-MOLECULE	PROTON // CPD-7291 // SUC // CARBON-DIOXIDE // CPD-7289
PWY-6910	PROTON // HMP // ADP // AMINO-HYDROXYMETHYL-METHYLPYRIMIDINE-PP // AMINO-HYDROXYMETHYL-METHYL-PYR-P // ATP	AT1G22940-MONOMER	AT1G22940	Thiamin-Salvage	PYRIMSYN3-RXN // OHMETPYRKIN-RXN	ATP // HMP	AMINO-HYDROXYMETHYL-METHYLPYRIMIDINE-PP // ADP // PROTON
PWY-5317	CPD-7994 // CPD-7995 // UNKNOWN // TROPINONE // NADPH // NADP // CO-A // CPD-5922 // TROPINE // CPD-7996 // L-HYOSCYAMINE // WATER // CARBON-DIOXIDE // SUC // SCOPOLAMINE // PROTON // CPD-2202 // 2-KETOGLUTARATE // OXYGEN-MOLECULE	CPLX-7162 // MONOMER-13848 // MONOMER-16824 // MONOMER-13617 // MONOMER-12447 // MONOMER-13616 // MONOMER-16825	G-10563 // G-10382 // G-9566 // G-10381 // G-14655	TROPANE-ALKALOIDS	6-BETA-HYDROXYHYOSCYAMINE-EPOXIDASE-RXN // HYOSCYAMINE-6-DIOXYGENASE-RXN // RXN-8255 // RXN-8254 // TROPINE-DEHYDROGENASE-RXN // RXN-8253 // RXN-8251 // RXN-8252	2-KETOGLUTARATE // OXYGEN-MOLECULE // CPD-5922 // NADPH // CPD-7994	SCOPOLAMINE // SUC // WATER // CO-A // NADP
PWY-5808	ISOBUTYRYL-COA // CPD-7104 // 4-PRENYLPHLORISOBUTYROPHENONE // CPD-9635 // CPD-7107 // CO-A // CARBON-DIOXIDE // ISOVALERYL-COA // MALONYL-COA // CPD-14533 // GERANYL-PP // PROTON // 3-METHYL-1-246-TRIHYDROXYPHENYLBUTAN // PPI // CPD-7105 // CPD-7109 // CPD-4211	MONOMER-13762 // MONOMER-13763		TERPENOPHENOLICS-SYN	RXN-7810 // RXN-7811 // RXN-13549 // 2.3.1.156-RXN // RXN-9135 // RXN-7813 // RXN-7812 // RXN-7805	CPD-4211 // GERANYL-PP // ISOVALERYL-COA // MALONYL-COA // ISOBUTYRYL-COA	PPI // CPD-14533 // CARBON-DIOXIDE // CO-A // CPD-9635
PWY-5780	Acceptor // CPD-9562 // CPD-9561 // OXYGEN-MOLECULE // Donor-H2 // WATER // CPD-9558 // CPD-8215 // CPD-9557 // PROTON	MONOMER-13710	G-10470	QUINONE-SYN	RXN-14896 // RXN-9073 // RXN-9072	CPD-8215 // CPD-9557 // OXYGEN-MOLECULE // Donor-H2	WATER // CPD-9562 // Acceptor
PWY-7169	AMMONIUM // PHE // AMP // CPD-674 // ATP // NADPH // NADP // ACETYL-COA // CPD-514 // CPD-513 // CINNAMOYL-COA // WATER // CARBON-DIOXIDE // CO-A // PROTON // MALONYL-COA // BENZOYLCOA // PPI // CPD-14997 // CPD-6881 // CPD-4211	MONOMER-17857	G-15504	XANTHONE-SYN // Super-Pathways	RXN-13957 // RXN-7481 // RXN-2002 // RXN-2006 // RXN-2003 // RXN-2001 // PHENYLALANINE-AMMONIA-LYASE-RXN	CPD-4211 // PROTON // MALONYL-COA // BENZOYLCOA	CPD-14997 // PPI // CO-A // CARBON-DIOXIDE
PWY-5826	PYRUVATE // L-ALPHA-ALANINE // CARBON-DIOXIDE // CPD-9739 // CPD-9738 // CPD-9737 // CO-A // CPD-9736 // ACETYL-COA // Donor-H2 // CPD-9734 // Acceptor // OXOPENTENOATE // CPD-9727 // CYS-GLY // CPD-9700 // CPD-9699 // GLUTATHIONE // Deaminated-Amine-Donors // CPD-9757 // CPD-9735 // Aminated-Amine-Donors // THR // AMMONIUM // 2-OXOBUTANOATE // PROTON // WATER // CPD-16013 // CPD-15056	MONOMER-13789 // MONOMER-13775		SECONDARY-METABOLITE-BIOSYNTHESIS	RXN-15121 // RXN-15123 // RXN-15122 // RXN-9189 // RXN-9157 // RXN-9167 // RXN-9168 // RXN-9169 // RXN-9170 // RXN-9171 // RXN-9172 // RXN-9173 // RXN-9174 // RXN-9175	THR // Aminated-Amine-Donors // GLUTATHIONE // Acceptor // ACETYL-COA // L-ALPHA-ALANINE	AMMONIUM // CPD-9757 // Deaminated-Amine-Donors // CPD-9700 // CYS-GLY // Donor-H2 // CO-A // CARBON-DIOXIDE // PYRUVATE
PWY-5905	Acceptor // WATER // EIF5A-HYPUSINE // OXYGEN-MOLECULE // Donor-H2 // SPERMIDINE // CPD-313 // CPD-14378 // Deoxyhypusine-Synthase-Lysine // N-4-aminobutylidene-enzyme-lysine // EIF5A-LYSINE // NAD // CPD-9973 // N-4-aminobutylidene-eIF5A-lysine // NADH // PROTON	AT3G58180-MONOMER // AT3G62530-MONOMER // AT3G43260-MONOMER // AT5G05920-MONOMER // MONOMER-13914	AT3G58180 // AT3G62530 // AT3G43260 // AT5G05920 // G-10617	Amino-Acids-Modification	RXN-13417 // RXN-13416 // RXN-13415 // RXN-13414 // DEOXYHYPUSINE-MONOOXYGENASE-RXN	EIF5A-LYSINE // SPERMIDINE // OXYGEN-MOLECULE // Donor-H2	CPD-313 // EIF5A-HYPUSINE // WATER // Acceptor
PWY-6066	INDOLE_ACETATE_AUXIN // WATER // ACETYL-COA // CPD-10519 // CPD-10518 // CPD-10517 // CPD-10516 // PPI // AMP // CPD-10508 // CPD-10507 // CO-A // ATP	AT4G05530-MONOMER // AT3G06810-MONOMER	AT4G05530 // AT3G06810	Auxin-Biosynthesis	RXN-9808 // RXN-9809 // RXN-9810 // RXN-9811 // RXN-9812 // RXN-9813	CPD-10507 // ATP // WATER	AMP // PPI // ACETYL-COA // INDOLE_ACETATE_AUXIN
PWY-6958	Alpha-linolenoyl-groups // FERRICYTOCHROME-B5 // CPD-17282 // OXYGEN-MOLECULE // FERROCYTOCHROME-B5 // CPD-17278 // CARBON-DIOXIDE // MALONYL-COA // CPD-14392 // NAD-P-OR-NOP // CPD-17262 // NADH-P-OR-NOP // PROTON // WATER // CPD-17263 // Acceptor // CPD-17264 // Donor-H2 // CO-A // CPD-17281 // CPD-14394 // Glycerolipids	MONOMER-12524 // MONOMER-12526	G-9611 // G-9614	Eicosapentaenoate-Biosynthesis	RXN-16042 // RXN-16022 // RXN-16021 // RXN-16020 // RXN-16019 // RXN-16041 // RXN-8350 // RXN-8347	Donor-H2 // NADH-P-OR-NOP // PROTON // MALONYL-COA // OXYGEN-MOLECULE // FERROCYTOCHROME-B5 // Alpha-linolenoyl-groups	Acceptor // WATER // NAD-P-OR-NOP // CARBON-DIOXIDE // CPD-17282 // FERRICYTOCHROME-B5
PWY-6068	UDP // INDICAN // CPD-12575 // WATER // INDOXYL // NAD // CPD-10523 // INDOLE // OXYGEN-MOLECULE // NADH // PROTON	MONOMER-14292		SECONDARY-METABOLITE-BIOSYNTHESIS	RXN-9819 // RXN-9818 // 2.4.1.220-RXN	INDOLE // OXYGEN-MOLECULE // NADH // CPD-12575	NAD // WATER // INDICAN // UDP
PWY-6069	NAD // CPD-10523 // INDOLE // NADH // PROTON // WATER // CPD-10525 // INDOXYL // OXYGEN-MOLECULE			SECONDARY-METABOLITE-BIOSYNTHESIS	RXN-9820 // RXN-9819 // RXN-9818	OXYGEN-MOLECULE // INDOLE // NADH // PROTON	CPD-10525 // WATER // NAD
PWY-7430	CPD-16173 // PROTON // FORMATE // CPD-248 // INDOLE // WATER // NADP // ANTHRANILATE // CPD-16172 // OXYGEN-MOLECULE // NADPH	MONOMER-18426		AROMATIC-COMPOUNDS-DEGRADATION	RXN-15191 // INDOLE-23-DIOXYGENASE-RXN // RXN-15187 // RXN-15188	OXYGEN-MOLECULE // NADPH // INDOLE	ANTHRANILATE // NADP // FORMATE // CPD-16173
PWYQT-4476	Glucopyranose // CPD-1863 // Elemental-Sulfur // PROTON // FORMALDEHYDE // CPDQT-424 // Donor-H2 // Acceptor // CPDQT-425 // GLUTATHIONE // CPDQT-427 // CPDQT-428 // CYS // CPDQT-426 // ASCORBATE // SULFATE // CPD-1881 // INDOLE-3-CARBOXALDEHYDE // CPD-13135 // INDOLE_ACETATE_AUXIN // AMMONIUM // INDOLEYL-CPD // WATER // CPD-19512 // CPD-19511 // CPDQT-429	AT2G44490-MONOMER // CPLX-1524 // CPLX-1525 // CPLX-1526 // AT5G22300-MONOMER	AT2G44490 // AT3G44300 // AT3G44310 // AT3G44320 // AT5G22300	GLUCOSINOLATE-DEG	RXN-18230 // RXN-1404 // RXN-12206 // RXN-12205 // RXNQT-4350 // RXNQT-4358 // RXNQT-4357 // RXNQT-4356 // RXNQT-4355 // RXNQT-4353 // RXNQT-4352 // RXNQT-4351 // RXN-1444	ASCORBATE // CYS // GLUTATHIONE // Acceptor // CPD-1863	CPD-19512 // AMMONIUM // CPD-13135 // SULFATE // CPDQT-426 // CPDQT-427 // CPDQT-425 // Donor-H2 // CPDQT-424 // FORMALDEHYDE // PROTON // Elemental-Sulfur // Glucopyranose
PWYQT-4477	CPDQT-432 // CPDQT-433 // CPDQT-436 // CPDQT-435 // CPDQT-331 // CPD-8913 // GLUTATHIONE // SULFATE // CPDQT-429 // Glucopyranose // CPD-1881 // Ox-NADPH-Hemoprotein-Reductases // CPD-1863 // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases // PROTON // ADENOSYL-HOMO-CYS // 4-METHOXY-3-INDOLYLMETHYL-GLUCOSINOLATE // S-ADENOSYLMETHIONINE // 4-HYDROXY-3-INDOLYLMETHYL-GLUCOSINOLATE // GLT // CPD-21171 // GLY // CPD-21172 // CPDQT-434 // WATER	AT2G44490-MONOMER // AT5G36220-MONOMER // AT5G67310-MONOMER // AT4G37320-MONOMER // AT1G66540-MONOMER // AT2G23190-MONOMER // AT2G23220-MONOMER // AT4G37430-MONOMER // AT4G37400-MONOMER // AT5G57220-MONOMER // AT1G21110-MONOMER // AT1G21130-MONOMER // AT5G53810-MONOMER // AT1G21120-MONOMER // AT1G21100-MONOMER // AT5G44070-MONOMER	AT2G44490 // AT5G36220 // AT5G67310 // AT4G37320 // AT1G66540 // AT2G23190 // AT2G23220 // AT4G37430 // AT4G37400 // AT5G57220 // AT1G21110 // AT1G21130 // AT5G53810 // AT1G21120 // AT1G21100 // AT5G44070	GLUCOSINOLATE-DEG	RXN-19576 // RXN-19574 // RXN-2163 // RXN-2162 // RXN-1444 // RXNQT-4350 // RXNQT-4363 // RXNQT-4364 // RXNQT-4362 // RXNQT-4361 // RXNQT-4360 // RXNQT-4359	S-ADENOSYLMETHIONINE // CPD-1863 // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases // GLUTATHIONE	GLY // GLT // ADENOSYL-HOMO-CYS // PROTON // Ox-NADPH-Hemoprotein-Reductases // Glucopyranose // SULFATE // CPD-8913 // CPDQT-331 // CPDQT-436
PWY-1822	L-ALPHA-ALANINE // INDOLE-3-ACETYL-ALA // LEU // INDOLE_ACETATE_AUXIN // INDOLE-3-ACETYL-LEU // WATER	AT5G56650-MONOMER // AT1G51780-MONOMER // AT5G56660-MONOMER // MONOMER-4142 // AT1G51760-MONOMER // MONOMER-4141 // AT1G44350-MONOMER // AT3G02875-MONOMER	AT5G56650 // AT1G51780 // AT5G56660 // G-3182 // AT1G51760 // G-3181 // AT1G44350 // AT3G02875	Activation	RXN-2982 // RXN-2981	INDOLE-3-ACETYL-LEU // WATER // INDOLE-3-ACETYL-ALA	INDOLE_ACETATE_AUXIN // LEU // L-ALPHA-ALANINE
PWY-1921	INDOLE-3-ACETYL-BETA-6-D-GLUCOSE // INDOLE-3-ACETYL-BETA-4-D-GLUCOSE // Glucopyranose // CPD-1102 // MYO-INOSITOL // INDOLE_ACETATE_AUXIN // PROTON // D-galactopyranose // CPD-165 // 5-O-INDOL-3-YLACETYL-MYO-ETCETERA // WATER	MONOMER-4282 // MONOMER-4281 // MONOMER-4301		Activation	RXN-3167 // RXN-3166 // RXN-3165 // RXN-3164 // RXN-3163	5-O-INDOL-3-YLACETYL-MYO-ETCETERA // WATER // CPD-1102 // INDOLE-3-ACETYL-BETA-4-D-GLUCOSE // INDOLE-3-ACETYL-BETA-6-D-GLUCOSE	D-galactopyranose // PROTON // INDOLE_ACETATE_AUXIN // MYO-INOSITOL // Glucopyranose
PWYDQC-4	L-ALPHA-ALANINE // TRP // PYRUVATE // WATER // NADP // CARBON-DIOXIDE // INDOLE_ACETATE_AUXIN // INDOLE_PYRUVATE // NADPH // OXYGEN-MOLECULE // PROTON	ZM00001D039629-MONOMER // MONOMERDQC-60280 // ZM00001D039628-MONOMER // AT1G23320-MONOMER // AT4G24670-MONOMER // AT1G80360-MONOMER // AT1G70560-MONOMER // GDQC-111218-MONOMER // ZM00001D005602-MONOMER // ZM00001D030871-MONOMER // ZM00001D041402-MONOMER // MONOMERDQC-48324 // ZM00001D035294-MONOMER // ZM00001D044069-MONOMER // ZM00001D027759-MONOMER // ZM00001D030975-MONOMER // ZM00001D008255-MONOMER // ZM00001D049078-MONOMER // ZM00001D011764-MONOMER // MONOMERDQC-52928 // MONOMERDQC-55606 // ZM00001D004467-MONOMER // ZM00001D000445-MONOMER // ZM00001D047670-MONOMER // ZM00001D049077-MONOMER // ZM00001D005439-MONOMER // ZM00001D039323-MONOMER // AT1G04610-MONOMER // AT4G28720-MONOMER // AT1G48910-MONOMER // AT5G43890-MONOMER // AT1G04180-MONOMER // AT1G21430-MONOMER // AT2G33230-MONOMER // AT5G25620-MONOMER // AT5G11320-MONOMER // AT4G32540-MONOMER // AT4G13260-MONOMER	ZM00001D039629 // ZM00001D008744 // ZM00001D039628 // AT1G23320 // AT4G24670 // AT1G80360 // AT1G70560 // GDQC-111218 // ZM00001D005602 // ZM00001D030871 // ZM00001D041402 // ZM00001D019527 // ZM00001D035294 // ZM00001D044069 // ZM00001D027759 // ZM00001D030975 // ZM00001D008255 // ZM00001D049078 // ZM00001D011764 // ZM00001D025005 // ZM00001D023718 // ZM00001D004467 // ZM00001D000445 // ZM00001D047670 // ZM00001D049077 // ZM00001D005439 // ZM00001D039323 // AT1G04610 // AT4G28720 // AT1G48910 // AT5G43890 // AT1G04180 // AT1G21430 // AT2G33230 // AT5G25620 // AT5G11320 // AT4G32540 // AT4G13260	Auxin-Biosynthesis	RXNDQC-2 // RXN-10139	NADPH // OXYGEN-MOLECULE // PROTON // TRP // PYRUVATE	INDOLE_ACETATE_AUXIN // CARBON-DIOXIDE // NADP // WATER // L-ALPHA-ALANINE
PWY-581	GLT // 2-KETOGLUTARATE // TRYPTAMINE // Donor-H2 // N-HYDROXYL-TRYPTAMINE // Acceptor // AMMONIUM // CPD-237 // TRP // Ox-NADPH-Hemoprotein-Reductases // CPD-13026 // Red-NADPH-Hemoprotein-Reductases // CPD-13027 // NADP // CARBON-DIOXIDE // INDOLE_ACETATE_AUXIN // INDOLE_PYRUVATE // NADPH // OXYGEN-MOLECULE // PROTON // WATER // INDOLEYL-CPD // INDOLE-3-ACETALDOXIME	ZM00001D039691-MONOMER // ZM00001D039629-MONOMER // ZM00001D008700-MONOMER // ZM00001D041648-MONOMER // MONOMERDQC-50624 // MONOMERDQC-57793 // MONOMERDQC-60280 // ZM00001D039628-MONOMER // AT1G23320-MONOMER // AT4G24670-MONOMER // AT1G80360-MONOMER // AT1G70560-MONOMER // ZM00001D048758-MONOMER // ZM00001D049601-MONOMER // ZM00001D024665-MONOMER // CPLXDQC-1 // AT5G22300-MONOMER // CPLXDQC-2 // CPLXDQC-3 // GDQC-110683-MONOMER // ZM00001D013463-MONOMER // AT3G17970-MONOMER // AT5G09420-MONOMER // AT1G08980-MONOMER // CPLX-1526 // CPLX-1524 // CPLX-1525 // AT1G58265-MONOMER // CPLX-1523 // CPLX-2281 // ZM00001D005602-MONOMER // ZM00001D030871-MONOMER // ZM00001D041402-MONOMER // MONOMERDQC-48324 // ZM00001D035294-MONOMER // ZM00001D044069-MONOMER // ZM00001D027759-MONOMER // ZM00001D030975-MONOMER // ZM00001D008255-MONOMER // ZM00001D049078-MONOMER // ZM00001D011764-MONOMER // MONOMERDQC-52928 // MONOMERDQC-55606 // ZM00001D004467-MONOMER // ZM00001D000445-MONOMER // ZM00001D047670-MONOMER // ZM00001D049077-MONOMER // ZM00001D005439-MONOMER // ZM00001D039323-MONOMER // AT1G04610-MONOMER // AT4G28720-MONOMER // AT1G48910-MONOMER // AT5G43890-MONOMER // AT1G04180-MONOMER // AT1G21430-MONOMER // AT2G33230-MONOMER // AT5G25620-MONOMER // AT5G11320-MONOMER // AT4G32540-MONOMER // AT4G13260-MONOMER // MONOMERQT-8241 // MONOMERQT-8521 // AT1G11610-MONOMER // AT2G30750-MONOMER // AT2G30770-MONOMER // AT3G48270-MONOMER // AT3G48280-MONOMER // AT3G48290-MONOMER // AT3G48310-MONOMER // AT3G48320-MONOMER // AT4G13290-MONOMER // AT4G13310-MONOMER // AT4G20240-MONOMER // AT5G24950-MONOMER // AT5G24960-MONOMER // AT5G42590-MONOMER	ZM00001D039691 // ZM00001D039629 // ZM00001D008700 // ZM00001D041648 // ZM00001D037498 // ZM00001D037674 // ZM00001D008744 // ZM00001D039628 // AT1G23320 // AT4G24670 // AT1G80360 // AT1G70560 // ZM00001D048758 // ZM00001D049601 // ZM00001D024665 // GDQC-110683 // AT5G22300 // GDQC-110683 // ZM00001D013463 // AT3G17970 // AT5G09420 // AT1G08980 // AT3G44320 // AT3G44300 // AT3G44310 // AT1G58265 // AT4G39950 // AT2G22330 // ZM00001D005602 // ZM00001D030871 // ZM00001D041402 // ZM00001D019527 // ZM00001D035294 // ZM00001D044069 // ZM00001D027759 // ZM00001D030975 // ZM00001D008255 // ZM00001D049078 // ZM00001D011764 // ZM00001D025005 // ZM00001D023718 // ZM00001D004467 // ZM00001D000445 // ZM00001D047670 // ZM00001D049077 // ZM00001D005439 // ZM00001D039323 // AT1G04610 // AT4G28720 // AT1G48910 // AT5G43890 // AT1G04180 // AT1G21430 // AT2G33230 // AT5G25620 // AT5G11320 // AT4G32540 // AT4G13260 // AT4G20235 // AT3G48300 // AT1G11610 // AT2G30750 // AT2G30770 // AT3G48270 // AT3G48280 // AT3G48290 // AT3G48310 // AT3G48320 // AT4G13290 // AT4G13310 // AT4G20240 // AT5G24950 // AT5G24960 // AT5G42590	Auxin-Biosynthesis	RXN-19838 // RXNDQC-2 // RXN-12063 // RXN-12062 // RXN-12061 // RXN-7567 // RXNN-404 // RXN-1406 // RXN-1405 // RXN-1404 // AROMATIC-L-AMINO-ACID-DECARBOXYLASE-RXN // TRYPTOPHAN-AMINOTRANSFERASE-RXN	NADPH // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases // TRP // Acceptor // 2-KETOGLUTARATE	INDOLE_ACETATE_AUXIN // CARBON-DIOXIDE // NADP // Ox-NADPH-Hemoprotein-Reductases // AMMONIUM // Donor-H2 // GLT
PWY-1961	Donor-H2 // INDOLE_ACETATE_AUXIN // WATER // Acceptor // 2-OXINDOLE-3-ACETIC-ACID // 7-HYDROXY-2-OXINDOLE-3-ACETIC-ACID-GLUCO // Non-Glucosylated-Glucose-Acceptors // Glucosylated-Glucose-Acceptors // 7-HYDROXY-2-OXINDOLE-3-ACETIC-ACID	MONOMER-4341		Indole-3-Acetate-Inactivation	RXN-3183 // RXN-3182 // RXN-3181	Glucosylated-Glucose-Acceptors // INDOLE_ACETATE_AUXIN // WATER // Acceptor	Non-Glucosylated-Glucose-Acceptors // 7-HYDROXY-2-OXINDOLE-3-ACETIC-ACID-GLUCO // Donor-H2
PWY-1962	PPI // AMP // PROTON // ATP // INDOLE-3-ACETYL-ASP // L-ASPARTATE // 2-OXINDOLE-3-ACETYL-ASP // Donor-H2 // 2-OXINDOLE-3-ACETIC-ACID // INDOLE_ACETATE_AUXIN // WATER // Acceptor			Indole-3-Acetate-Inactivation	RXN-3181 // RXN-3185 // RXN-3184 // RXN-2946	INDOLE_ACETATE_AUXIN // WATER // Acceptor // ATP	2-OXINDOLE-3-ACETIC-ACID // Donor-H2 // PROTON // AMP // PPI
